
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  33668 Console                    6     23,816 K
svchost.exe                  16604 Console                    6     44,396 K
HPJumpStartLaunch.exe        31496 Console                    6        184 K
taskhostw.exe                33400 Console                    6     18,608 K
igfxEM.exe                   12068 Console                    6     21,380 K
explorer.exe                 34724 Console                    6   1,70,152 K
svchost.exe                  18392 Console                    6     27,620 K
SynTPHelper.exe              41592 Console                    6      4,496 K
ctfmon.exe                   37616 Console                    6     15,436 K
ShellExperienceHost.exe       4064 Console                    6   1,32,976 K
SearchUI.exe                 12720 Console                    6   1,85,444 K
RuntimeBroker.exe            20996 Console                    6     30,928 K
RuntimeBroker.exe            45188 Console                    6     35,784 K
YourPhone.exe                28712 Console                    6     27,620 K
SettingSyncHost.exe          30476 Console                    6      5,980 K
TabTip.exe                   25036 Console                    6     13,792 K
LockApp.exe                  38432 Console                    6     39,100 K
CastSrv.exe                   5816 Console                    6      7,680 K
RuntimeBroker.exe            17196 Console                    6     28,004 K
SkypeBackgroundHost.exe      14944 Console                    6     10,392 K
RuntimeBroker.exe            31136 Console                    6     12,484 K
SkypeApp.exe                 23016 Console                    6   1,62,240 K
RuntimeBroker.exe            30328 Console                    6     21,088 K
SecurityHealthSystray.exe    43468 Console                    6      6,712 K
RtkAudUService64.exe         46720 Console                    6      8,276 K
RtlS5Wake.exe                30900 Console                    6     10,148 K
OneDrive.exe                 36688 Console                    6     52,724 K
CCXProcess.exe               38392 Console                    6      1,700 K
node.exe                     13696 Console                    6     48,976 K
conhost.exe                  44352 Console                    6      4,264 K
AppMarket.exe                45196 Console                    6     50,112 K
AdobeIPCBroker.exe           44564 Console                    6      9,772 K
HPAudioSwitch.exe            27980 Console                    6     30,368 K
TBSWebRenderer.exe            1984 Console                    6     46,108 K
TBSWebRenderer.exe           13084 Console                    6     82,280 K
Creative Cloud.exe           27640 Console                    6     61,624 K
jusched.exe                  17316 Console                    6      5,472 K
Adobe Desktop Service.exe    26832 Console                    6     71,140 K
Adobe CEF Helper.exe         12212 Console                    6     97,540 K
CCLibrary.exe                 3948 Console                    6      1,680 K
node.exe                     43444 Console                    6     39,848 K
conhost.exe                  21116 Console                    6      4,328 K
CoreSync.exe                 35152 Console                    6     30,488 K
HPSystemEventUtilityHost.    39744 Console                    6     47,188 K
YourPhoneServer.exe          17212 Console                    6     10,584 K
svchost.exe                  37256 Console                    6     16,096 K
wlanext.exe                  22384 Services                   0      6,804 K
conhost.exe                  17604 Services                   0      4,264 K
ApplicationFrameHost.exe      1652 Console                    6     34,832 K
WinStore.App.exe             45484 Console                    6        184 K
RuntimeBroker.exe            13144 Console                    6      7,192 K
AdobeNotificationClient.e    33848 Console                    6     11,640 K
FileCoAuth.exe               11828 Console                    6     12,484 K
RuntimeBroker.exe            26812 Console                    6      5,120 K
RuntimeBroker.exe            29676 Console                    6     21,528 K
AdobeCollabSync.exe          30520 Console                    6      8,852 K
AdobeCollabSync.exe          45488 Console                    6     16,296 K
SystemSettings.exe           14672 Console                    6        188 K
Music.UI.exe                 22164 Console                    6        364 K
